ESTABLISHMENT_ID,ESTABLISHMENT_NAME,LONG_ADDRESS,SHORT_ADDRESS,DISTRICT,CITY,POSTAL_CODE
9002381,CANTANHEDE O BAIRRADINO,"662 LANSDOWNE AVE, TORONTO, ON M6H 3Y8, CANADA",662 LANSDOWNE AVE,METRO TORONTO,TORONTO,M6H 3Y8
9011295,OLYMPIC MILK & VARIETY STORE,"662 VAUGHAN RD, YORK, ON M6E 2Y5, CANADA",662 VAUGHAN RD,YORK,TORONTO,M6E 2Y5
10380619,HARVEY'S,"6620 FINCH AVE W, TORONTO, ON M9V, CANADA",6620 FINCH AVE W,ETOBICOKE,TORONTO,M9V
10502526,BOMBAY BUZZ,"6620 FINCH AVE W, TORONTO, ON M9V, CANADA",6620 FINCH AVE W,ETOBICOKE,TORONTO,M9V
10536527,STARBUCKS,"6620 FINCH AVE W, TORONTO, ON M9V, CANADA",6620 FINCH AVE W,ETOBICOKE,TORONTO,M9V
10567527,ROSE GARDEN BANQUET HALL,"6628 FINCH AVE W, ETOBICOKE, ON M9W, CANADA",6628 FINCH AVE W,ETOBICOKE,TORONTO,M9W
10507009,BANKNOTE BAR,"663 KING ST W, TORONTO, ON M5V 1M5, CANADA",663 KING ST W,METRO TORONTO,TORONTO,M5V 1M5
10294514,TRADITION FINE FOODS,"663 WARDEN AVE, SCARBOROUGH, ON M1L 0E8, CANADA",663 WARDEN AVE,SCARBOROUGH,TORONTO,M1L 0E8
10532126,Tradition Retail Store,"663 WARDEN AVE, SCARBOROUGH, ON M1L 0E8, CANADA",663 WARDEN AVE,SCARBOROUGH,TORONTO,M1L 0E8
10519326,TIM HORTONS,"663 YONGE ST, TORONTO, ON M4Y 1Z9, CANADA",663 YONGE ST,METRO TORONTO,TORONTO,M4Y 1Z9
9018579,BURGER KING RESTAURANTS OF CANADA INC.,"6630 FINCH AVE W, ETOBICOKE, ON M9W 0B3, CANADA",6630 FINCH AVE W,ETOBICOKE,TORONTO,M9W 0B3
10510512,GREEK IN THE VILLAGE,"664 BLOOR ST W, TORONTO, ON M6G 1L2, CANADA",664 BLOOR ST W,METRO TORONTO,TORONTO,M6G 1L2
10408717,LUCI RESTAURANT,"664\ THE QUEENSWAY, TORONTO, ON M8Y, CANADA",664 THE QUEENSWAY,ETOBICOKE,TORONTO,M8Y
10575719,THE BOIL BAR,"664 YONGE ST, TORONTO, ON M4Y 2A6, CANADA",664 YONGE ST,METRO TORONTO,TORONTO,M4Y 2A6
10551700,IMONAY HOUSE,"665 BLOOR ST W, TORONTO, ON M6G 1L1, CANADA",665 BLOOR ST W,METRO TORONTO,TORONTO,M6G 1L1
9419687,VIVOLI,"665 COLLEGE ST, TORONTO, ON M6G 1B7, CANADA",665 COLLEGE ST,METRO TORONTO,TORONTO,M6G 1B7
9006123,GIVE AND GO,"6650 FINCH AVE W, ETOBICOKE, ON M9W 5Y6, CANADA",6650 FINCH AVE W,ETOBICOKE,TORONTO,M9W 5Y6
9012306,BLOORVIEW KIDS REHAB-PLAY & LEARN,"666 EGLINTON AVE W, TORONTO, ON M5N 1B9, CANADA",666 EGLINTON AVE W,METRO TORONTO,TORONTO,M5N 1B9
10541310,POUR BOY PUB,"666 MANNING AVE, TORONTO, ON M6G 2W4, CANADA",666 MANNING AVE,METRO TORONTO,TORONTO,M6G 2W4
10578560,Jian Hing Food Mart,"666 MARKHAM RD, SCARBOROUGH, ON M1B, CANADA",666 MARKHAM RD,SCARBOROUGH,TORONTO,M1B
10461789,WILD WING,"666 MILLWOOD RD, TORONTO, ON M4S, CANADA",666 MILLWOOD RD,METRO TORONTO,TORONTO,M4S
